ts	phase	decision	why	evidence	result
2026-08-19T18:07:14Z	setup	started all-phases charter run; env prepped (npm ci in worktree, .env.local copied); baseline gates launched	worktree lacked node_modules (known Prisma-client gotcha) and .env.local; baseline must be green before any unit lands	commit 2c52e3a; tasks/bvn2j7lsr.output	open
2026-08-19T18:07:14Z	research	confirmed the modernized 14-cluster framework names (Advance CTE, Oct 2024); target is national-clusters.ts, NOT the 7 SPOKES curriculum clusters	career-clusters.ts holds 7 program-local clusters that drive pathways; the 16-cluster list lives in national-clusters.ts, consumed by discovery-extractor, career-profile, job-board matcher	careertech.org/career-clusters; src/lib/spokes/national-clusters.ts	mapping design pending
2026-08-19T18:12:45Z	phase1	launched 7 parallel builders on disjoint files (latency+SLO sonnet, cos-smoke sonnet, career-evals opus, ui-readability sonnet, freshness-eval fable, eval-gates sonnet, e2e-a11y fable); no commits, orchestrator integrates	parallel agents in one worktree stomp shared files, so package.json and cross-cutting wiring stay with the orchestrator; model tier matched to unit difficulty per Britt's instruction	agents u1-u7; baseline 2059 tests + tsc + eslint green	open
2026-08-19T18:12:45Z	design	cluster migration: replace 16-name union in national-clusters.ts with the 14-cluster framework; legacy old-to-new crosswalk normalizes stored rows at read time (merges take max score); STEM maps to Digital Technology	two old clusters merge into Healthcare & Human Services and two into Public Service & Safety; STEM was dissolved by the framework so a single coarse home is needed for stored data	src/lib/spokes/national-clusters.ts:8-46; careertech.org/career-clusters	builder prompt pending
2026-08-19T18:12:45Z	design	student-reported COS workflow: CareerDiscovery gains profileSource/assessedAt/assessmentPayload; new confirm-card write tool record_assessment_results; assessed results override inferred RIASEC; Career DNA labels its source	no COS API key yet (Britt) — students take the assessment on careeronestop.org and report results to Sage; provenance field also future-proofs the API path (cos_api)	prisma schema CareerDiscovery ~1443; write-tool pattern src/lib/sage/agent/	builder prompt pending
2026-08-19T18:12:45Z	design	orientation becomes journey step 0 in student-next-step.ts and the dashboard collapses to one next signal derived from it	the resolver's own originating spec listed orientation state as an input and the implementation dropped it; two engines disagree on the home screen today	student-next-step.ts:34-61,230-238; dashboard/page.tsx:23-32	builder prompt pending
2026-08-19T18:22:00Z	blocker	dev Supabase project erdbdpgfirfbaoswwqby is INACTIVE (paused); restore via MCP was denied by the permission classifier — needs Britt (one click in Supabase dashboard or approve restore here)	U1 hit tenant-not-found from the pooler; list_projects confirmed status INACTIVE	supabase list_projects output; U1 report	worked around locally
2026-08-19T18:22:00Z	workaround	stood up throwaway Postgres 17 + pgvector 0.8.6 on 127.0.0.1:55432 (scratchpad data dir), all migrations applied clean; redirected u5/u7 builders to it via inline env override	no Docker on this Mac but brew has postgresql@17 + pgvector; a fresh hermetic DB mirrors the CI pattern and beats polluting the shared dev DB anyway	scratchpad/pg17-vq; prisma migrate deploy output: all applied	u5/u7 unblocked
2026-08-19T18:22:00Z	phase1	U1 latency+SLO, U2 cos-smoke, U4 ui-readability (48 failures = phase-2 worklist, median 6.7), U6 eval floors all landed with red-baseline proofs; awaiting u3/u5/u7	each unit verified by its builder; orchestrator gates + commits after full batch	agent reports u1/u2/u4/u6	4/7 done
2026-08-19T18:35:42Z	unblock	Britt restored the dev Supabase project (ACTIVE_HEALTHY); verified schema current (35/35 migrations) and re-ran the DB instruments against it	owner action closed the blocker; dev parity matters because the eval fixtures must hold on populated data, not just hermetic-empty	get_project status; migrate status output	dev DB live
