name,reach,impact,confidence,effort,category,notes
Behavior XP Ledger (ProgressionEvent model + idempotent events),50,high,high,5,gamification,Replaces JSON blob with proper event sourcing. Foundation for missions and rewards.
Wire all routes into event service (chat/orientation/tasks/certs/portfolio),50,high,high,8,gamification,"Existing routes award XP through new ledger. Covers tickets 4-7 from backlog."
Weekly Mission Board (student UI + API),50,high,medium,6,gamification,Students see and complete weekly missions tied to real product behavior.
Teacher Kudos system,30,medium,medium,4,gamification,Teachers can issue kudos tied to professional behaviors. Students see recognition.
Practical Reward Unlocks,30,medium,low,5,gamification,"Priority resume review, mock interview slots, portfolio spotlight. Requires partnership with staff."
Dashboard Copy Refresh (shift from chat-centric to behavior-centric),50,medium,high,2,gamification,Update empty states and helper copy across dashboard. Quick win after XP ledger.
E2E Tests with Playwright,50,medium,high,5,testing,"Critical user flows: login, chat, dashboard, orientation. Only remaining arch audit item."
Background Job Queue for fire-and-forget work,50,high,medium,5,architecture,"Replace .then() chains with proper queue. Benefits chat post-processing, alert sync, email."
Migrate 28 components to typed API client,40,medium,high,3,architecture,Replace raw fetch() calls with api.get/post. Incremental adoption already possible.
Alert sync background cron,50,high,high,2,operations,"Create /api/internal/alerts/sync cron endpoint. Alert sync removed from renders, needs periodic refresh."
Rate limiting on document endpoints,50,medium,medium,1,security,Wire RateLimitEntry to /api/documents routes. Cache exhaustion mitigation.
Retire legacy /api/forms/download route,30,medium,high,1,security,Migrate OrientationFormDetail to use /api/documents/download. Remove filename-based download.
Streaming downloads (avoid buffering),20,low,high,3,performance,Return signed Supabase URLs instead of proxying file bytes. Reduces server memory per download.
Normalize progression state to DB columns,50,high,medium,8,architecture,"Replace JSON blob with proper columns. Eliminates parse/serialize overhead and enables SQL queries."
Mobile responsive polish,50,medium,medium,3,ux,"Fix remaining mobile breakpoint issues across courses, teacher dashboard, document browser."
Student onboarding wizard improvements,40,high,medium,4,ux,"Guided first-run experience after registration. Currently just redirects to /chat."
Add Zod to remaining routes (incrementally),40,low,high,3,architecture,Apply schemas to the ~30 routes not yet using Zod. Low urgency since withErrorHandler catches crashes.
